Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,First Time Discloser,Population,Population Year,City Location,Last update
2020,49335,Metropolitan Government of Nashville and Davidson County,Nashville,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,692587,2018,POINT (-86.7816 36.1627),2020-09-07T09:45:19.793
2020,60278,Prefeitura de Fernandópolis,Fernandópolis,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,68823,2018,POINT (-50.2475 -20.2858),2020-09-07T09:45:19.793
2020,57509,Prefeitura Niterói,Niterói,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,513584,2019,POINT (-43.1184 -22.8928),2020-09-07T09:45:19.793
2020,60114,City of Gdynia,Gdynia,Poland,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability,Union of the Baltic Cities",public,No,246348,2019,POINT (18.5305 54.5189),2020-09-07T09:45:19.793
2020,32550,City of Denver,Denver,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,716492,2018,POINT (-104.985 39.7376),2020-09-07T09:45:19.793
2020,54519,City of Lund,Lund,Sweden,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,124935,2019,,2020-09-07T09:45:19.793
2020,35897,Municipality of Campinas,Campinas,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1204073,2019,POINT (-46.9372 -22.744),2020-09-07T09:45:19.793
2020,68383,Prefeitura de Itatiba,Itatiba,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,115051,2016,POINT (-23 46.5),2020-09-07T09:45:19.793
2020,59563,"City of Takoma Park, MD",Takoma Park,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,17765,2016,POINT (-77.0075 38.9779),2020-09-07T09:45:19.793
2020,31165,Stadt Heidelberg,Heidelberg,Germany,Europe,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,148365,2019,POINT (8.67243 49.3988),2020-09-07T09:45:19.793
2020,49347,City of Omaha,Omaha,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,468267,2018,,2020-09-07T09:45:19.793
2020,848408,Municipio de Cajamarca,,Colombia,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,17309,2018,,2020-09-07T09:45:19.793
